objectid,filename,title,subject,location,source,type,format,language,date,description
IOL_Tib_J_594_1,IOL_Tib_J_594_1.jpg,sBas pa’i rgum chum ,manuscript,"London, England","IDP, British Library",Image,image/jpeg,tib,2023,One of two Dzogchen Dunhuang manuscripts
IOL_Tib_J_647_1,IOL_Tib_J_647_1.jpg,Rig pa’i khu ’byug,manuscript,"London, England","IDP, British Library",Image,image/jpeg,tib,2023,diplomatic edition and translation of IOL Tib J 647; contextualising within Dzogchen tradition; close analysis of topics
Pelliot_tibétain_116_1,Pelliot_tibétain_116_1.jpg,P. T. 116,manuscript,"Paris, France","Gallica, Bibliothèque Nationale de Paris",Image,image/jpeg,tib,2021,"use of red ink in Dunhuang manuscripts, as well as seals"
Pelliot_tibétain_2018,Pelliot_tibétain_2018.jpg,P. T. 2018,manuscript,"Paris, France","Gallica, Bibliothèque Nationale de Paris",Image,image/jpeg,tib,2021,"closer look on Tibetan handwriting styles (Tib. Dbu can, dbu med)"
Pelliot_tibétain_699,Pelliot_tibétain_699.jpg,P. T. 699,manuscript,"Paris, France","Gallica, Bibliothèque Nationale de Paris",Image,image/jpeg,tib,2022,"important work in the context of the tradition building process of Dzogchen, relations to Chan"
IOL_Tib_J_709,IOL_Tib_J_709.jpg,IOL Tib J 709,manuscript,"London, England","IDP, British Library",Image,image/jpeg,tib,2021,"closer look on Tibetan handwriting styles (Tib. Dbu can, dbu med)"
IOL_Tib_J_594_trans,sBas pa'i rgum chung by Buddhagupta.pdf,Translation of sBas pa’i rgum chum ,translation; document, ,,Text,application/pdf,eng,2007,
IOL_Tib_J_332_1,IOL_Tib_J_332_1.jpg,IOL Tib J 332/1,manuscript,"London, England","IDP, British Library",Image,image/jpeg,tib,2022,"Mahāyoga self-sacrifice, theoretical framework ritual theory"
IOL_Tib_J_437,IOL_Tib_J_437.jpg,IOL Tib J 437,manuscript,"London, England","IDP, British Library",Image,image/jpeg,tib,2022,"Mahāyoga self-sacrifice, theoretical framework ritual theory"
IOL_Tib_J_718,IOL_Tib_J_718.jpg,IOL Tib J 718,manuscript,"London, England","IDP, British Library",Image,image/jpeg,tib,2022,"Mahāyoga self-sacrifice, theoretical framework ritual theory"
Pelliot_tibétain_841,Pelliot_tibétain_841.jpg,P. T. 841,manuscript,"Paris, France","Gallica, Bibliothèque Nationale de Paris",Image,image/jpeg,tib,2022,"Mahāyoga self-sacrifice, theoretical framework ritual theory"
IOL_Tib_J_346,IOL_Tib_J_346.jpg,IOL Tib J 346,manuscript,"London, England","IDP, British Library",Image,image/jpeg,tib,2023,special focus on handwriting and relation of topics
IOL_Tib_J_346_notes,ITJ_346_2.pdf,Thoughts on Handwriting of IOL Tib J 346,document,,,Text,application/pdf,eng,2023,"preliminary thoughts about the similar handwriting in bundle Ch.III.73, grouped by Stein"
