objectid,filename,title,description,subject,location,source,type,format,language,date,use,context
IOL_Tib_J_594_1,IOL_Tib_J_594_1.jpg,sBas pa’i rgum chum ,Tibetan Dunhuang Manuscript,manuscript,"London, England","IDP, British Library",Image,image/jpeg,Tibetan,2023,The Dunhuang Manucritpt IOL Tib J 647. A contextualisation of the physical manuscript and its tradition,One of two Dzogchen Dunhuang manuscripts
IOL_Tib_J_647_1,IOL_Tib_J_647_1.jpg,Rig pa’i khu ’byug,Tibetan Dunhuang Manuscript,manuscript,"London, England","IDP, British Library",Image,image/jpeg,Tibetan,2023,The Dunhuang Manucritpt IOL Tib J 647. A contextualisation of the physical manuscript and its tradition,diplomatic edition and translation of IOL Tib J 647;   contextualising within Dzogchen tradition;   close analysis of topics
Pelliot_tibétain_116_1,Pelliot_tibétain_116_1.jpg,P. T. 116,Tibetan Dunhuang Manuscript,manuscript,"Paris, France","Gallica, Bibliothèque Nationale de Paris",Image,image/jpeg,Tibetan,2021,class,"use of red ink in Dunhuang manuscripts, as well as seals"
Pelliot_tibétain_2018,Pelliot_tibétain_2018.jpg,P. T. 2018,Tibetan Dunhuang Manuscript,manuscript,"Paris, France","Gallica, Bibliothèque Nationale de Paris",Image,image/jpeg,Tibetan,2021,class,"closer look on Tibetan handwriting styles (Tib. Dbu can, dbu med)"
Pelliot_tibétain_699,Pelliot_tibétain_699.jpg,P. T. 699,Tibetan Dunhuang Manuscript,manuscript,"Paris, France","Gallica, Bibliothèque Nationale de Paris",Image,image/jpeg,Tibetan,2022,Transcription and Translation of Pelliot Tibétain 699,"important work in the context of the tradition building process of Dzogchen, relations to Chan"
IOL_Tib_J_709,IOL_Tib_J_709.jpg,IOL Tib J 709,Tibetan Dunhuang Manuscript,manuscript,"London, England","IDP, British Library",Image,image/jpeg,Tibetan,2021,class,"closer look on Tibetan handwriting styles (Tib. Dbu can, dbu med)"
IOL_Tib_J_594_trans,sBas pa'i rgum chung by Buddhagupta.pdf,Translation of sBas pa’i rgum chum ,translation by Karen Liljenberg,translation; document,,,Text,application/pdf,English/Tibetan,2007,,
IOL_Tib_J_332_1,IOL_Tib_J_332_1.jpg,IOL Tib J 332/1,Tibetan Dunhuang Manuscript,manuscript,"London, England","IDP, British Library",Image,image/jpeg,Tibetan,2022,A Look at the Sacred and Profane Distinction: Self-Sacrifice in Tibetan Mahāyoga. An Analysis of the Tantric Union Ritual (Tib. sbyor ba) according to the Theory of Sacrifice developed by Marcel Mauss and Henri Hubert,"Mahāyoga self-sacrifice, theoretical framework ritual theory"
IOL_Tib_J_437,IOL_Tib_J_437.jpg,IOL Tib J 437,Tibetan Dunhuang Manuscript,manuscript,"London, England","IDP, British Library",Image,image/jpeg,Tibetan,2022,A Look at the Sacred and Profane Distinction: Self-Sacrifice in Tibetan Mahāyoga. An Analysis of the Tantric Union Ritual (Tib. sbyor ba) according to the Theory of Sacrifice developed by Marcel Mauss and Henri Hubert,"Mahāyoga self-sacrifice, theoretical framework ritual theory"
IOL_Tib_J_718,IOL_Tib_J_718.jpg,IOL Tib J 718,Tibetan Dunhuang Manuscript,manuscript,"London, England","IDP, British Library",Image,image/jpeg,Tibetan,2022,A Look at the Sacred and Profane Distinction: Self-Sacrifice in Tibetan Mahāyoga. An Analysis of the Tantric Union Ritual (Tib. sbyor ba) according to the Theory of Sacrifice developed by Marcel Mauss and Henri Hubert,"Mahāyoga self-sacrifice, theoretical framework ritual theory"
Pelliot_tibétain_841,Pelliot_tibétain_841.jpg,P. T. 841,Tibetan Dunhuang Manuscript,manuscript,"Paris, France","Gallica, Bibliothèque Nationale de Paris",Image,image/jpeg,Tibetan,2022,A Look at the Sacred and Profane Distinction: Self-Sacrifice in Tibetan Mahāyoga. An Analysis of the Tantric Union Ritual (Tib. sbyor ba) according to the Theory of Sacrifice developed by Marcel Mauss and Henri Hubert,"Mahāyoga self-sacrifice, theoretical framework ritual theory"
IOL_Tib_J_346,IOL_Tib_J_346.jpg,IOL Tib J 346,Tibetan Dunhuang Manuscript,manuscript,"London, England","IDP, British Library",Image,image/jpeg,Tibetan,2023,ideas,special focus on handwriting and relation of topics
IOL_Tib_J_346_notes,ITJ_346_2.pdf,Thoughts on Handwriting of IOL Tib J 346,notes,document,,,Text,application/pdf,English/Tibetan,2023,ideas,"preliminary thoughts about the similar handwriting in bundle Ch.III.73, grouped by Stein"
